1581854.081078 5096494.675679              CB82-08 134.00 1.0327 10.2381
1581836.144152 5096512.090083              CB82-08 135.00 1.0323 10.3079
1581818.207225 5096529.504487              CB82-08 136.00 1.0319 10.4041
1581800.270299 5096546.918891              CB82-08 137.00 1.0318 10.222
1581782.333314 5096564.333353              CB82-08 138.00 1.0316 10.2466
1581764.396387 5096581.747757              CB82-08 139.00 1.0314 11.0993
1581746.459461 5096599.162161              CB82-08 140.00 1.0315 11.6543
1581728.522535 5096616.576565              CB82-08 141.00 1.0312 11.2719
1581710.585609 5096633.990969              CB82-08 142.00 1.0310 11.4123
1581692.648623 5096651.405430              CB82-08 143.00 1.0306 11.52
1581674.711697 5096668.819834              CB82-08 144.00 1.0302 11.2423
1581656.774770 5096686.234238              CB82-08 145.00 1.0294 10.9791
1581638.837844 5096703.648642              CB82-08 146.00 1.0287 10.977
1581620.900918 5096721.063046              CB82-08 147.00 1.0281 10.9722
1581602.963992 5096738.477450              CB82-08 148.00 1.0273 10.4488
1581585.027006 5096755.891912              CB82-08 149.00 1.0265 9.75149
1581567.090080 5096773.306316              CB82-08 150.00 1.0255 9.33663
1581549.153154 5096790.720720              CB82-08 151.00 1.0251 8.96335
1581531.216227 5096808.135124              CB82-08 152.00 1.0247 9.33518
1581513.279301 5096825.549528              CB82-08 153.00 1.0249 9.36886
1581495.342316 5096842.963990              CB82-08 154.00 1.0250 9.04934
1581477.405389 5096860.378394              CB82-08 155.00 1.0242 9.06503
1581459.468463 5096877.792798              CB82-08 156.00 1.0237 9.76545
1581441.531537 5096895.207202              CB82-08 157.00 1.0233 9.67516
1581423.594611 5096912.621606              CB82-08 158.00 1.0228 9.15234
1581405.657684 5096930.036010              CB82-08 159.00 1.0222 9.42204
1581387.720758 5096947.450414              CB82-08 160.00 1.0219 9.49372
1581369.783832 5096964.864818              CB82-08 161.00 1.0214 9.69521
1581351.846906 5096982.279222              CB82-08 162.00 1.0207 10.4913
1581333.909861 5096999.693741              CB82-08 163.00 1.0205 10.0882
1581315.972934 5097017.108145              CB82-08 164.00 1.0200 10.2369
1581298.036008 5097034.522550              CB82-08 165.00 1.0194 10.8064
1581280.099082 5097051.936954              CB82-08 166.00 1.0190 10.471
1581262.162156 5097069.351358              CB82-08 167.00 1.0188 10.7071
1581244.225230 5097086.765762              CB82-08 168.00 1.0184 10.2417
1581226.288303 5097104.180166              CB82-08 169.00 1.0178 10.1229
1581208.351377 5097121.594570              CB82-08 170.00 1.0176 10.3298
1581190.414451 5097139.008974              CB82-08 171.00 1.0173 10.3004
1581172.477525 5097156.423378              CB82-08 172.00 1.0171 10.4567
1581154.540598 5097173.837782              CB82-08 173.00 1.0168 9.87123
1581136.603553 5097191.252301              CB82-08 174.00 1.0164 9.17036
1581118.666627 5097208.666705              CB82-08 175.00 1.0158 8.99228
1581100.729701 5097226.081109              CB82-08 176.00 1.0152 8.50124
1581082.792775 5097243.495513              CB82-08 177.00 1.0144 8.83517
1581064.855848 5097260.909917              CB82-08 178.00 1.0138 9.38135
1581046.918922 5097278.324321              CB82-08 179.00 1.0133 9.02918
1581028.981996 5097295.738725              CB82-08 180.00 1.0130 8.78021
1581011.045070 5097313.153129              CB82-08 181.00 1.0126 8.54662
1580993.108143 5097330.567533              CB82-08 182.00 1.0120 8.33737
1580975.171217 5097347.981937              CB82-08 183.00 1.0119 8.54338
